day,interval,detid,flow,occ,error,city,speed
2017-11-13,30900,N53313E,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N53311L,60.0,1.13207547169811,1.0,bolton,53.0
2017-11-13,30900,N53312U,288.0,8.22857142857143,1.0,bolton,35.0
2017-11-13,30900,N53312T,648.0,20.25,1.0,bolton,32.0
2017-11-13,30900,N53381H,360.0,9.47368421052632,1.0,bolton,38.0
2017-11-13,30900,N53382G,384.0,11.6363636363636,1.0,bolton,33.0
2017-11-13,30900,N53391J,660.0,20.0,1.0,bolton,33.0
2017-11-13,30900,N53391K,48.0,0.6,1.0,bolton,80.0
2017-11-13,30900,N53391M,852.0,21.3,1.0,bolton,40.0
2017-11-13,30900,N53391Q,72.0,3.78947368421053,1.0,bolton,19.0
2017-11-13,30900,N53391N,1296.0,32.4,1.0,bolton,40.0
2017-11-13,30900,N52151B,60.0,0.75,1.0,bolton,80.0
2017-11-13,30900,N52151A,24.0,0.3,1.0,bolton,80.0
2017-11-13,31200,N51141G,1116.0,39.8571428571429,1.0,bolton,28.0
2017-11-13,31200,N51151A,312.0,8.21052631578947,1.0,bolton,38.0
2017-11-13,31200,N51151B,792.0,29.3333333333333,1.0,bolton,27.0
2017-11-13,31200,N51151D,720.0,22.5,1.0,bolton,32.0
2017-11-13,31200,N51161W,936.0,42.5454545454546,1.0,bolton,22.0
2017-11-13,31200,N51161X,156.0,5.57142857142857,1.0,bolton,28.0
2017-11-13,31200,N51161Y,828.0,29.5714285714286,1.0,bolton,28.0
2017-11-13,31200,N51161Z,228.0,5.5609756097561,1.0,bolton,41.0
2017-11-13,31200,N51171M,1488.0,67.6363636363637,1.0,bolton,22.0
2017-11-13,31200,N51171N,276.0,5.63265306122449,1.0,bolton,49.0
2017-11-13,31200,N51171R,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N51171S,216.0,4.69565217391304,1.0,bolton,46.0
2017-11-13,31200,N51171V,828.0,25.875,1.0,bolton,32.0
2017-11-13,31200,N51231N,552.0,22.08,1.0,bolton,25.0
2017-11-13,31200,N51231O,408.0,11.6571428571429,1.0,bolton,35.0
2017-11-13,31200,N51231P,252.0,14.8235294117647,1.0,bolton,17.0
2017-11-13,31200,N51232K,540.0,19.2857142857143,1.0,bolton,28.0
2017-11-13,31200,N51232L,588.0,21.7777777777778,1.0,bolton,27.0
2017-11-13,31200,N51241B,432.0,13.5,1.0,bolton,32.0
2017-11-13,31200,N51241D,552.0,18.4,1.0,bolton,30.0
2017-11-13,31200,N51241E,900.0,30.0,1.0,bolton,30.0
